,#,V,Source In,Source Out,Record In,Record Out,Name,Clip Directory,Duration TC,Frame Rate,Resolution,Video Codec,Audio Codec,Description,Comments,Keywords,Clip Color,Shot,Scene,Take,Flags,Camera #,Date Modified,File Type
16,17,A3,00:00:06:10,00:00:22:01,01:00:01:03,01:00:16:19,"35-13 Water, Ocean Waves Coming In, Medium",/Volumes/RAID1/OPUW/Media/Sound FX/water,00:02:03:07,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 19:10:42 2009,aif
18,19,A4,00:00:12:23,00:00:28:14,01:00:01:03,01:00:16:19,"67 Beach,Ambience Beach Atmosphere With Children",/Volumes/RAID1/OPUW/Media/Sound FX/people,00:01:04:17,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Thu May  3 09:10:22 2018,aiff
20,21,V1,00:05:34:10,00:05:39:16,01:00:02:11,01:00:07:17,Normandie (Le) (1935),/Volumes/RAID1/OPUW/Media/Archives/Cinémathèque de Bretagne,00:14:04:23,25.000,720 x 576,H.264,AAC,"Fille avec petit bâteau, femme danse",,"Normandie,Super-8,Saint-Nazaire,construction",Navy,1935,,Cinémathèque de Bretagne,Green,,Thu Jun 20 16:35:14 2019,mp4
21,22,V1,00:06:05:16,00:06:10:05,01:00:07:17,01:00:12:06,Famille 1934,/Volumes/RAID1/OPUW/Media/Archives/Cinémathèque de Bretagne,00:16:03:01,25.000,720 x 576,H.264,AAC,,,"Normandie,Super-8,Saint-Nazaire,construction",Navy,1934,,Cinémathèque de Bretagne,,,Thu Jun 20 16:34:50 2019,mp4
26,27,V1,00:02:10:06,00:02:14:13,01:00:12:06,01:00:16:13,Un ministre de la marine marchande à Auray (1934),/Volumes/RAID1/OPUW/Media/Archives/Cinémathèque de Bretagne,00:09:26:10,25.000,828 x 576,H.264,AAC,Normandie en cale sèche,,"Normandie,Super-8,Saint-Nazaire,construction,Forme Joubert",Navy,1934,,Cinémathèque de Bretagne,Green,,Thu Jun 20 16:34:57 2019,mp4
28,29,V1,00:11:47:00,00:11:51:13,01:00:16:13,01:00:21:01,Normandie (Le) (1935),/Volumes/RAID1/OPUW/Media/Archives/Cinémathèque de Bretagne,00:14:04:23,25.000,720 x 576,H.264,AAC,"Fille avec petit bâteau, femme danse",,"Normandie,Super-8,Saint-Nazaire,construction",Navy,1935,,Cinémathèque de Bretagne,Green,,Thu Jun 20 16:35:14 2019,mp4
29,30,A3,00:00:22:14,00:00:36:16,01:00:16:19,01:00:30:21,"35-13 Water, Ocean Waves Coming In, Medium",/Volumes/RAID1/OPUW/Media/Sound FX/water,00:02:03:07,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 19:10:42 2009,aif
30,31,A4,00:00:29:02,00:00:43:04,01:00:16:19,01:00:30:21,"67 Beach,Ambience Beach Atmosphere With Children",/Volumes/RAID1/OPUW/Media/Sound FX/people,00:01:04:17,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Thu May  3 09:10:22 2018,aiff
32,33,V1,00:05:19:19,00:05:26:03,01:00:21:01,01:00:29:23,Normandie (Le) (1935),/Volumes/RAID1/OPUW/Media/Archives/Cinémathèque de Bretagne,00:14:04:23,25.000,720 x 576,H.264,AAC,"Fille avec petit bâteau, femme danse",,"Normandie,Super-8,Saint-Nazaire,construction",Navy,1935,,Cinémathèque de Bretagne,Green,,Thu Jun 20 16:35:14 2019,mp4
34,35,A5,00:00:04:05,00:00:39:13,01:00:25:21,01:01:01:04,Wind-4,/Volumes/RAID1/OPUW/Media/Sound FX/wind,00:00:59:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Thu Jan 25 11:31:35 2018,aif
36,37,A9,00:00:00:06,00:00:57:05,01:00:25:21,01:01:22:20,KAP_014_14_Carnaval_des_Animaux_Aquarium_Camille_Saint_Saens_Saint_Saens_925787,/Volumes/RAID1/OPUW/Media/Musique/Kapagama,00:02:22:11,0.000,,,MP3,,,musique,Lime,,,Musique Bibliothèque,,,Tue Nov 26 22:04:43 2019,mp3
37,37,A9,00:00:00:06,00:00:57:05,01:00:25:21,01:01:22:20,KAP_014_14_Carnaval_des_Animaux_Aquarium_Camille_Saint_Saens_Saint_Saens_925787,/Volumes/RAID1/OPUW/Media/Musique/Kapagama,00:02:22:10,0.000,,,Linear PCM,,,musique,Lime,,,Musique Bibliothèque,,,Thu Nov 28 15:44:22 2019,aiff
41,41,A7,00:00:04:02,00:00:54:12,01:00:29:23,01:01:20:08,Water-Ocean-3,/Volumes/RAID1/OPUW/Media/Sound FX/water,00:01:07:04,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Thu Jan 25 11:31:34 2018,aif
40,40,V1,00:00:13:08,00:00:17:09,01:00:29:23,01:00:33:24,'Normandie's' record | AP Archive (1935),/Volumes/RAID1/OPUW/Media/Archives/AP,00:01:28:00,25.000,640 x 360,H.264,AAC,,,"Normandie,traversée,gloire,Statue de la liberté,Manhattan,port",Navy,1935,,Associated Press,,BM,Sun Jun  2 06:38:41 2019,mp4
42,42,V1,00:02:38:08,00:02:51:24,01:00:33:24,01:00:47:15,Gaumont Pathé Archives - 3525GJ 00001 - FRANCE. SUR L'OCEAN,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:04:12:12,25.000,640 x 480,H.264,AAC,"Sur l'océan. Après une réception triomphale à NEW-YORK, le paquebot NORMANDIE entre dans le port du HAVRE arborant le Grand Pavois et le Ruban Bleu. La vie à bord du paquebot. Bateau de croisière, intérieur",,"Ruban Bleu,Manhattan,port,passerelle,luxe,Cangardel,traversée,gloire,avion,Normandie,Le Havre,Pugnet,équipage,sound",Navy,1935,,GP,Green,Gaumont,Thu Jul 12 12:45:32 2018,mp4
43,43,V2,00:00:29:14,00:00:43:05,01:00:33:24,01:00:47:15,Ina MEDIAPRO - Le paquebot Normandie AFE08001130,/Volumes/RAID1/OPUW/Media/Archives/INA,00:01:50:00,25.000,512 x 384,H.264,AAC,"Nombreuses vues aériennes du paquebot transatlantique Normandie en 1935, dans le port du Havre et en pleine mer. Document muet.",,"Normandie,traversée,gloire,avion,amorce",Navy,1935,,INA Media Pro,,Actu,Tue Jul 10 12:26:46 2018,mp4
48,48,V1,00:00:00:00,00:00:03:16,01:00:47:15,01:00:52:20,814599820,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:12:12,23.976,640 x 360,H.264,AAC,"WS ocean liner approaches, sailing on water with sun reflecting / MS SS Normandie moves in water / WS RMS Queen Mary in New York Harbor in 1936, with escorting smaller vessels, as she arrives on maiden voyage",,"Normandie,gloire,Manhattan,traversée",Navy,1936,,Getty,Green,,Sun Jun 24 22:03:04 2018,mp4
49,49,V1,00:04:05:00,00:04:11:01,01:00:52:20,01:01:01:04,P-212-60,/Volumes/RAID1/OPUW/Media/Archives/Historic Films,00:10:19:22,23.976,720 x 540,H.264,AAC,Définition sans égal,,"Normandie,luxe,gloire,incendie,chaviré",Navy,1942,,Historic Films,Green,,Fri Jun  7 21:10:50 2019,mp4
53,53,V1,00:03:11:05,00:03:14:22,01:01:01:04,01:01:04:21,Gaumont Pathé Archives - TRA 1 - A BORD DE NORMANDIE,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:09:38:08,25.000,640 x 486,H.264,AAC,,,"Normandie,traversée,gloire,sirène,luxe,passerelle,Champlain,Pugnet,équipage,vagues",Navy,1935,,GP,Green,Pathé,Thu Jul 12 12:28:38 2018,mp4
54,54,A5,00:00:10:02,00:00:31:18,01:01:01:04,01:01:22:20,Wind-4,/Volumes/RAID1/OPUW/Media/Sound FX/wind,00:00:59:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Thu Jan 25 11:31:35 2018,aif
55,55,A6,00:00:54:19,00:01:01:21,01:01:01:04,01:01:08:06,14-Seagulls-harbour atms,/Volumes/RAID1/OPUW/Media/Sound FX/port,00:03:02:08,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Mon Jun 16 14:18:03 2008,wav
56,56,V1,00:31:51:20,00:31:54:20,01:01:04:21,01:01:07:21,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
57,57,A1,00:31:52:17,00:31:55:06,01:01:05:18,01:01:08:07,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
60,60,V1,00:00:06:20,00:00:14:13,01:01:07:21,01:01:16:16,450042036,/Volumes/RAID1/OPUW/Media/Archives/Getty,00:00:32:01,23.976,640 x 360,H.264,AAC,"French luxury ocean liner arrives in New York at the end of its maiden voyage / aerial view of top deck as it floats past camera / surrounded by smaller vessels, the liner makes its way past the Statue of Liberty / New York skyline in the background / ship in harbor / CU front of ship showing name / men painting the side of the liner near name.",,"Normandie,traversée,gloire,New York,Manhattan,Statue de la liberté,port",Navy,1935,,Getty,Green,,Sun Jun 24 22:02:55 2018,mp4
62,62,V1,00:33:35:10,00:33:41:14,01:01:16:16,01:01:22:20,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
65,65,A7,00:00:02:16,00:00:03:16,01:01:22:11,01:01:23:11,18-46 Flash Pot Small Powder Flash,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:16:04,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 16:32:45 2009,aif
66,66,A10,01:00:00:12,01:00:00:17,01:01:22:15,01:01:22:20,Hit 06 Drum Roll,/Volumes/RAID1/OPUW/Media/Sound FX/hits,00:00:04:18,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
67,67,A8,00:00:00:00,00:00:00:21,01:01:22:17,01:01:23:13,Camera 2,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:00:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Tue Feb 12 23:12:49 2008,caf
68,68,V1,00:00:00:00,00:00:00:00,01:01:22:20,01:01:23:13,2016.85.2.329P02H,/Volumes/RAID1/OPUW/Media/Photos/Jean Moral/Tirages,00:00:00:01,25.000,3962 x 4069,JPEG,,,,Normandie,Apricot,,,Moral,,,Fri Feb 28 13:22:10 2020,jpg
70,70,A9,00:00:00:05,00:00:54:22,01:01:22:20,01:02:17:12,Désertions 01,/Volumes/RAID1/OPUW/Media/Musique/Tal,00:01:09:13,0.000,,,Linear PCM,,,musique,Olive,,,Musique Tal,,,Thu Mar 26 13:18:05 2020,aif
71,71,A10,01:00:00:17,01:00:05:06,01:01:22:20,01:01:27:08,Hit 06 Drum Roll,/Volumes/RAID1/OPUW/Media/Sound FX/hits,00:00:04:18,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Sun Jul  7 06:37:10 2019,wav
72,72,A5,00:00:05:17,00:00:06:23,01:01:23:04,01:01:24:10,18-46 Flash Pot Small Powder Flash,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:16:04,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 16:32:45 2009,aif
73,73,A6,00:00:00:00,00:00:00:21,01:01:23:12,01:01:24:08,Camera 2,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:00:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Tue Feb 12 23:12:49 2008,caf
74,74,V1,00:00:00:00,00:00:00:00,01:01:23:13,01:01:24:03,FL007501_ibp,/Volumes/RAID1/OPUW/Media/Photos/French Lines/190807,00:00:00:01,25.000,800 x 536,JPEG,,,,"Normandie,cinéma",Apricot,,,French Lines,,,Wed Aug  7 20:01:16 2019,jpg
76,76,A1,00:33:24:15,00:33:29:13,01:01:23:19,01:01:28:17,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
77,77,A7,00:00:08:24,00:00:10:00,01:01:23:23,01:01:24:24,18-46 Flash Pot Small Powder Flash,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:16:04,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 16:32:45 2009,aif
78,78,A8,00:00:00:00,00:00:00:21,01:01:24:02,01:01:24:23,Camera 2,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:00:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Tue Feb 12 23:12:49 2008,caf
79,79,V1,00:00:00:00,00:00:00:00,01:01:24:03,01:01:24:19,2019-12-15-0007 (1935-03-20),/Volumes/RAID1/OPUW/Media/Photos/Arnaud Gaudry,00:00:00:01,25.000,5609 x 4241,JPEG,,,,"Normandie,Pugnet",Apricot,,,Arnaud Gaudry,,,Tue Jan  7 22:43:52 2020,jpg
81,81,A5,00:00:08:24,00:00:09:23,01:01:24:15,01:01:25:14,18-46 Flash Pot Small Powder Flash,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:16:04,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 16:32:45 2009,aif
82,82,V1,00:00:00:00,00:00:00:00,01:01:24:19,01:01:25:14,MNY67823 1935-06-01,/Volumes/RAID1/OPUW/Media/Photos/Museum of the City of New York,00:00:00:01,25.000,682 x 550,JPEG,,,,"Normandie,presse",Apricot,1935-1937 (cf. filename),,MCNY,,,Fri Aug 30 15:56:11 2019,jpg
84,84,A6,00:00:00:00,00:00:00:21,01:01:24:19,01:01:25:15,Camera 2,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:00:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Tue Feb 12 23:12:49 2008,caf
85,85,V1,00:00:32:10,00:00:32:19,01:01:25:14,01:01:25:24,Rio-NY avec Normandie 1 Cintel 00000741,/Volumes/RAID1/OPUW/Media/Archives Master/CNC,00:12:55:12,24.000,1920 x 1080,DNxHR HQ,Linear PCM,,,,Pink,,,CNC,,,Tue Jul 21 20:26:56 2020,mov
87,87,A3,00:00:02:23,00:00:07:04,01:01:25:14,01:01:29:20,"79 Projector, Film",/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:11:00,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 18:51:33 2009,aif
88,88,V1,00:10:00:19,00:10:02:20,01:01:25:24,01:01:28:00,Normandie voyage inaugural,/Volumes/RAID1/OPUW/Media/Archives/French Lines,00:11:07:18,25.000,702 x 576,H.264,AAC,,,"Normandie,Le Havre",Navy,,,French Lines,,,Fri Sep  6 18:39:20 2019,mp4
89,89,V1,00:10:57:16,00:10:58:12,01:01:28:00,01:01:28:21,Normandie voyage inaugural,/Volumes/RAID1/OPUW/Media/Archives/French Lines,00:11:07:18,25.000,702 x 576,H.264,AAC,,,"Normandie,Le Havre",Navy,,,French Lines,,,Fri Sep  6 18:39:20 2019,mp4
91,91,V1,00:01:39:18,00:01:40:17,01:01:28:21,01:01:29:20,Gaumont Pathé Archives - 3522EJ 24323 - NORMANDIE AU HAVRE. NORMANDIE,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:01:42:11,25.000,640 x 480,H.264,AAC,"Au HAVRE, le Président de la République inaugure la mise en service de la nouvelle gare maritime et celle du paquebot NORMANDIE Le Chef de l'Etat rend hommage dans son discours aux techniciens et aux artistes Français qui ont réalisé ce chef d'oeuvre",,"Le Havre,inauguration,Normandie,Le Havre",Navy,1935,,GP,,Gaumont,Thu Jul 12 12:45:07 2018,mp4
93,93,A1,00:04:04:10,00:04:13:09,01:01:29:20,01:01:38:19,P-212-60,/Volumes/RAID1/OPUW/Media/Archives/Historic Films,00:10:19:22,23.976,720 x 540,H.264,AAC,Définition sans égal,,"Normandie,luxe,gloire,incendie,chaviré",Navy,1942,,Historic Films,Green,,Fri Jun  7 21:10:50 2019,mp4
92,92,V1,00:01:12:18,00:01:13:15,01:01:29:20,01:01:30:17,Gaumont Pathé Archives - 3522EJ 24323 - NORMANDIE AU HAVRE. NORMANDIE,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:01:42:11,25.000,640 x 480,H.264,AAC,"Au HAVRE, le Président de la République inaugure la mise en service de la nouvelle gare maritime et celle du paquebot NORMANDIE Le Chef de l'Etat rend hommage dans son discours aux techniciens et aux artistes Français qui ont réalisé ce chef d'oeuvre",,"Le Havre,inauguration,Normandie,Le Havre",Navy,1935,,GP,,Gaumont,Thu Jul 12 12:45:07 2018,mp4
94,94,V1,00:01:16:00,00:01:16:19,01:01:30:17,01:01:31:19,Voyage inaugural du Normandie DIAZ 1935,/Volumes/RAID1/OPUW/Media/Archives/DIAZ,00:05:07:11,25.000,960 x 720,H.264,AAC,,,Normandie,Navy,,,DIAZ,,,Thu Jun 20 16:47:03 2019,mp4
95,95,V1,00:00:19:03,00:00:20:03,01:01:31:19,01:01:32:19,Normandie Starts Maiden Voyage | AP Archive (1935),/Volumes/RAID1/OPUW/Media/Archives/AP,00:00:55:21,25.000,640 x 360,H.264,AAC,,,"port,gloire,Normandie,Le Havre",Navy,1935,,Associated Press,,BM,Sun Jun  2 06:44:28 2019,mp4
96,96,V1,00:00:06:13,00:00:07:10,01:01:32:19,01:01:33:16,1935-Passenger Ship - 1930-1959 ~ Stock Footage #77860668,/Volumes/RAID1/OPUW/Media/Archives/Pond5,00:01:50:02,25.000,720 x 540,H.264,AAC,"Départ du Havre, très beau.",,"Normandie,gloire,traversée,Le Havre",Navy,1935,,Pond5,Green,,Tue Jun 18 17:23:07 2019,mp4
97,97,A4,00:00:00:00,00:00:05:12,01:01:33:00,01:01:38:12,"42 Applause,Cheering Outdoor_Stadium,Medium Crowd",/Volumes/RAID1/OPUW/Media/Sound FX/people,00:00:30:17,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 15:03:35 2009,aif
98,98,V1,00:00:45:04,00:00:45:15,01:01:33:16,01:01:34:14,1935-Passenger Ship - 1930-1959 ~ Stock Footage #77860668,/Volumes/RAID1/OPUW/Media/Archives/Pond5,00:01:50:02,25.000,720 x 540,H.264,AAC,"Départ du Havre, très beau.",,"Normandie,gloire,traversée,Le Havre",Navy,1935,,Pond5,Green,,Tue Jun 18 17:23:07 2019,mp4
99,99,V1,00:00:56:10,00:00:57:05,01:01:34:14,01:01:35:09,Gaumont Pathé Archives - 3522EJ 24323 - NORMANDIE AU HAVRE. NORMANDIE,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:01:42:11,25.000,640 x 480,H.264,AAC,"Au HAVRE, le Président de la République inaugure la mise en service de la nouvelle gare maritime et celle du paquebot NORMANDIE Le Chef de l'Etat rend hommage dans son discours aux techniciens et aux artistes Français qui ont réalisé ce chef d'oeuvre",,"Le Havre,inauguration,Normandie,Le Havre",Navy,1935,,GP,,Gaumont,Thu Jul 12 12:45:07 2018,mp4
100,100,V1,00:00:39:14,00:00:40:06,01:01:35:09,01:01:36:07,TRANSPORT- Normandie liner maiden voyage ~ Footage #109955518,/Volumes/RAID1/OPUW/Media/Archives/Pond5,00:01:15:15,25.000,638 x 540,H.264,AAC,"Départ du Havre, très beau.",,"Normandie,gloire,traversée",Navy,1935,,Pond5,Green,,Tue Jun 18 17:21:07 2019,mp4
101,101,V1,00:01:07:06,00:01:09:00,01:01:36:07,01:01:38:01,Voyage inaugural du Normandie DIAZ 1935,/Volumes/RAID1/OPUW/Media/Archives/DIAZ,00:05:07:11,25.000,960 x 720,H.264,AAC,,,Normandie,Navy,,,DIAZ,,,Thu Jun 20 16:47:03 2019,mp4
102,102,V1,00:01:05:12,00:01:06:17,01:01:38:01,01:01:39:06,Gaumont Pathé Archives - 3523GJ 00001 - LE HAVRE. LE GIGANTESQUE PAQUEBOT NORMANDIE A EFFECTUE SA 1ERE TRAVERSEE TRANSATLANTIQUE,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:02:03:14,25.000,640 x 480,H.264,AAC,,,"Normandie,traversée,gloire,luxe",Navy,1935,,GP,Green,Gaumont,Thu Jul 12 12:45:22 2018,mp4
103,103,A5,00:00:08:24,00:00:09:23,01:01:38:04,01:01:39:02,18-46 Flash Pot Small Powder Flash,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:16:04,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Wed May 27 16:32:45 2009,aif
104,104,A6,00:00:00:00,00:00:00:21,01:01:38:07,01:01:39:03,Camera 2,/Volumes/RAID1/OPUW/Media/Sound FX/foley,00:00:00:21,0.000,,,Linear PCM,,,,Pink,,,Sound FX Tal,,,Tue Feb 12 23:12:49 2008,caf
106,106,V1,00:22:39:08,00:22:40:02,01:01:39:06,01:01:40:00,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
107,107,A1,00:18:37:07,00:18:44:22,01:01:39:23,01:01:47:11,VM-315,/Volumes/RAID1/OPUW/Media/Archives/Historic Films,00:25:39:04,29.970,480 x 360,H.264,AAC,,,"Normandie,gloire,traversée,luxe,sirène,passerelle,avion,port,Statue de la liberté,Manhattan",Navy,1935,,Historic Films,Green,,Wed Jun  5 16:36:37 2019,mp4
108,108,V1,00:25:12:02,00:25:13:03,01:01:40:00,01:01:41:01,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
109,109,V1,00:24:35:05,00:24:36:03,01:01:41:01,01:01:41:24,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
110,110,V1,00:00:12:05,00:00:12:22,01:01:41:24,01:01:42:16,TRA_12-008751_4B_vis_00000000_00340003,/Volumes/RAID1/OPUW/Media/Archives/Gaumont Pathé,00:34:00:03,25.000,640 x 486,H.264,AAC,Remplace French Lines,Remplacement de FL SS Normandie,"Normandie,luxe,inauguration,New York,gloire",Navy,,,GP,Green,Gaumont,Tue Jan 21 13:31:38 2020,mp4
